"type","question","compare","against","predict"
basic,nobad,dilemma,uniform,less
basic,clearbest,dilemma,uniform,less
basic,nogood,dilemma,uniform,greater
basic,balanced,dilemma,uniform,greater
detail,balanced,72724,uniform,greater
detail,balanced,46466,uniform,greater
detail,balanced,11828,uniform,greater
basic,difficult,dilemma,uniform,greater
basic,consequences,dilemma,uniform,greater
basic,clearbest,obvious,uniform,greater
basic,nogood,obvious,uniform,less
basic,balanced,obvious,uniform,less
detail,balanced,97623,uniform,less
detail,balanced,64487,uniform,less
detail,balanced,21105,uniform,less
basic,difficult,obvious,uniform,less
detail,difficult,97623,uniform,less
detail,difficult,64487,uniform,less
detail,difficult,21105,uniform,less
basic,nobad,relaxed,uniform,greater
detail,nobad,79631,uniform,greater
detail,nobad,4897,uniform,greater
detail,nobad,19914,uniform,greater
basic,lowstakes,relaxed,uniform,greater
basic,nogood,relaxed,uniform,less
pairwise,nobad,relaxed,dilemma,greater
pairwise,clearbest,obvious,dilemma,greater
pairwise,nogood,dilemma,obvious,greater
pairwise,nogood,dilemma,relaxed,greater
pairwise,balanced,dilemma,obvious,greater
pairwise,difficult,dilemma,obvious,greater
secondary,difficult,dilemma,relaxed,greater
secondary,consequences,dilemma,obvious,greater
secondary,consequences,dilemma,relaxed,greater
